Feature,Importance
feature_1,0.3571167116344399
feature_14,0.07600084725224604
feature_12,0.07420423994525496
feature_26,0.057289644004888174
feature_29,0.05705893413776831
feature_11,0.03544119013956872
feature_2,0.03301824404144226
feature_15,0.0300004933861882
feature_27,0.029242128089412605
feature_18,0.02090379706100468
feature_30,0.01868084548814748
feature_81,0.01602076290601986
feature_80,0.015286961841540396
feature_5,0.012571818035382827
feature_61,0.012080434141579825
feature_23,0.01186051988498657
feature_9,0.011819293344521083
feature_54,0.011340430628505186
feature_20,0.011270444708016296
feature_82,0.010492971083495665
feature_47,0.009909070321500036
feature_83,0.009199101006000585
feature_31,0.007872026922416453
feature_16,0.005428700676310671
feature_79,0.00425207363811341
feature_60,0.0034496288971815783
feature_28,0.002992308998881543
feature_65,0.002897017724406874
feature_63,0.0026917633643231396
feature_110,0.0024783495420776036
feature_13,0.0024554259028106928
feature_64,0.0023155434654908626
feature_76,0.002097322130252757
feature_66,0.002036503544246117
feature_103,0.001953125606820772
feature_17,0.0019387047166025395
feature_53,0.0019182161887381784
feature_8,0.001913988595960219
feature_62,0.001668108300564563
feature_10,0.0015840203559282725
feature_24,0.001535735222943816
feature_56,0.0013789504657412395
feature_55,0.0013753817699722647
feature_21,0.0011477398037176775
feature_49,0.0010986389516290489
feature_6,0.0009225677511068755
feature_25,0.0008800683747900723
feature_3,0.0008345427104893854
feature_7,0.0008052999625838404
feature_42,0.000803191402312245
feature_113,0.000741962322684134
feature_22,0.000703304929233475
feature_19,0.0006956619993418575
feature_85,0.0006784764040192239
feature_89,0.0006687892186251468
feature_46,0.0006643974130071524
feature_39,0.0006268343254140407
feature_73,0.0006223395667949974
feature_57,0.0005803551812016349
feature_92,0.0005786612235280204
feature_32,0.000572131784870967
feature_70,0.0005422552122143918
feature_67,0.0005334375120088019
feature_59,0.0005124049962872971
feature_48,0.00048542266714052284
feature_4,0.00047536696433777805
feature_106,0.00045932483504130514
feature_99,0.0004496337629503853
feature_96,0.0004298635994215242
feature_112,0.0004015594278310871
feature_35,0.00033759423402861754
feature_36,0.00030947357923312793
feature_50,0.00029166271656612847
feature_33,0.00026103911231395476
feature_34,0.00025254499189813497
feature_78,0.0002524417929851221
feature_104,0.0002435711960328974
feature_90,0.00024005540088835407
feature_41,0.0002006373356523536
feature_52,0.00019888805635601326
feature_58,0.00019703961117754166
feature_43,0.0001828057265517499
feature_105,0.00016371497007335915
feature_51,0.0001608637120612079
feature_114,0.00014446905716940253
feature_77,0.00012545725609268614
feature_40,0.0001239086295363789
feature_107,0.00011417584436107112
feature_98,0.0001118923560326693
feature_111,0.00010795882127888366
feature_84,0.00010397684012613695
feature_44,9.125233702954782e-05
feature_74,8.93887471767238e-05
feature_91,8.856289992825648e-05
feature_97,7.593215081315299e-05
feature_45,7.114576884686504e-05
feature_38,6.188708783974015e-05
feature_88,5.196796355170262e-05
feature_37,4.561925598678104e-05
feature_109,4.232642557093163e-05
feature_69,4.008600415859479e-05
feature_71,4.006135243329761e-05
feature_93,3.7651644152989814e-05
feature_102,3.718662753550007e-05
feature_68,2.7066294011025183e-05
feature_108,2.6367316892512004e-05
feature_100,2.2440978452171995e-05
feature_115,1.3693874020916198e-05
feature_101,1.2336552607991578e-05
feature_86,9.943652826666182e-06
feature_94,8.444476351275024e-06
feature_87,7.499092750046498e-06
feature_95,7.37987840545494e-06
feature_116,6.590403995452388e-06
feature_75,3.171310837126373e-06
feature_72,1.8152491335684208e-06
